app_name,tags,specs,id,metascore,developer,Accounting,Action,Adventure,Animation &amp,Audio production,Casual,Design &amp,Early access,Education,Free to play,Illustration,Indie,Massively multiplayer,Modeling,None,Photo editing,Rpg,Racing,Simulation,Software training,Sports,Strategy,Utilities,Video production,Web publishing,release_year,playtimeforever
Counter-Strike: Source,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Team-Based', 'Tactical', 'First-Person', 'Competitive', 'PvP', 'Military', 'War', 'e-sports', 'Moddable', 'Strategy', 'Difficult', 'Singleplayer', 'Survival', 'Simulation', 'Atmospheric', 'Sandbox']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",240,88,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,112611120
Half-Life: Source,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Shooter', 'First-Person', 'Aliens', 'Zombies', 'Story Rich', 'Adventure', ""1990's"", 'Remake', 'Atmospheric', 'Multiplayer', 'Horror', 'Moddable', 'Silent Protagonist', 'Great Soundtrack', 'Co-op']",['Single-player'],280,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,495050
Day of Defeat: Source,"['FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'Team-Based', 'Military', 'War', 'Class-Based', 'First-Person', 'Historical', 'Tactical', 'Classic', 'Realistic', 'Strategy', 'Gore', 'Massively Multiplayer', 'Online Co-Op', 'Simulation', 'Comedy']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",300,80,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,6137750
Half-Life 2: Deathmatch,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Sci-fi', 'First-Person', 'Physics', 'Competitive', 'Funny', 'Co-op', 'Adventure', 'Atmospheric']","['Multi-player', 'Valve Anti-Cheat enabled', 'Includes Source SDK']",320,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2847457
Half-Life 2: Lost Coast,"['FPS', 'Action', 'Singleplayer', 'Sci-fi', 'Short', 'First-Person', 'Shooter', 'Aliens', 'Dystopian', 'Adventure', 'Futuristic', 'Benchmark', 'Atmospheric', 'Classic', 'Free to Play', 'Multiplayer', 'Silent Protagonist', 'Great Soundtrack', 'Post-apocalyptic']","['Single-player', 'Commentary available']",340,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,344504
Half-Life Deathmatch: Source,"['Action', 'FPS', 'Multiplayer', 'Sci-fi', 'Shooter', 'First-Person', 'Classic', 'Remake']","['Multi-player', 'Valve Anti-Cheat enabled']",360,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,108312
Half-Life 2: Episode One,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'First-Person', 'Story Rich', 'Shooter', 'Classic', 'Adventure', 'Dystopian', 'Aliens', 'Zombies', 'Episodic', 'Atmospheric', 'Short', 'Great Soundtrack', 'Silent Protagonist', 'Puzzle', 'Cinematic', 'Moddable']","['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",380,87,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,1982611
Portal,"['Puzzle', 'First-Person', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Action', 'Funny', 'Platformer', 'Story Rich', 'FPS', 'Physics', 'Short', 'Classic', 'Science', 'Adventure', 'Atmospheric', 'Dark Humor', 'Great Soundtrack', 'Strategy']","['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Includes level editor', 'Includes Source SDK', 'Commentary available']",400,90,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,5229805
Half-Life 2: Episode Two,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', 'Story Rich', 'Classic', 'Adventure', 'Aliens', 'Atmospheric', 'Zombies', 'Great Soundtrack', 'Silent Protagonist', 'Dystopian', 'Post-apocalyptic', 'Puzzle', 'Episodic', 'Horror', 'Multiplayer']","['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",420,90,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2588902
Left 4 Dead,"['Zombies', 'Co-op', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Team-Based', 'First-Person', 'Horror', 'Survival', 'Post-apocalyptic', 'Singleplayer', 'Atmospheric', 'Adventure', 'Tactical', 'Competitive', 'Moddable', 'Female Protagonist', 'Replay Value']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available']",500,89,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,13079643
Left 4 Dead 2,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Action', 'Online Co-Op', 'Shooter', 'Survival', 'First-Person', 'Horror', 'Team-Based', 'Moddable', 'Gore', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Tactical', 'Replay Value']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available']",550,89,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,102189191
Portal 2,"['Puzzle', 'Co-op', 'First-Person', 'Sci-fi', 'Comedy', 'Singleplayer', 'Adventure', 'Online Co-Op', 'Funny', 'Science', 'Female Protagonist', 'Action', 'Story Rich', 'Multiplayer', 'Atmospheric', 'Local Co-Op', 'FPS', 'Strategy', 'Space', 'Platformer']","['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available']",620,95,Valve,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,26439274
Counter-Strike: Global Offensive,"['FPS', 'Multiplayer', 'Shooter', 'Action', 'Team-Based', 'Competitive', 'Tactical', 'First-Person', 'e-sports', 'PvP', 'Online Co-Op', 'Military', 'Co-op', 'Strategy', 'War', 'Trading', 'Realistic', 'Difficult', 'Fast-Paced', 'Moddable']","['Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats']",730,83,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,785184217
Rag Doll Kung Fu,"['Indie', 'Fighting', 'Multiplayer']","['Single-player', 'Multi-player']",1002,69,Mark Healey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,891
Red Orchestra: Ostfront 41-45,"['Action', 'World War II', 'FPS', 'Realistic', 'Multiplayer', 'Shooter', 'Tactical', 'Singleplayer', 'Military', 'Simulation', 'Historical', 'War', 'Team-Based', 'Classic', 'Strategy', 'Atmospheric']","['Multi-player', 'Steam Achievements', 'Valve Anti-Cheat enabled']",1200,81,Tripwire Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,271313
Mare Nostrum,"['Action', 'World War II', 'FPS', 'Mod', 'Multiplayer', 'Free to Play', 'Realistic']","['Multi-player', 'Mods', 'Steam Achievements']",1230,0,Sandstorm Productions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,17344
Killing Floor,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",1250,72,Tripwire Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,29992448
Darkest Hour: Europe '44-'45,"['World War II', 'FPS', 'Action', 'Shooter', 'Simulation', 'Tactical', 'Multiplayer', 'Realistic', 'War', 'Mod', 'Free to Play', 'Historical']","['Multi-player', 'Mods', 'Partial Controller Support', 'Includes level editor']",1280,0,Darklight Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,261598
SiN Episodes: Emergence,"['Action', 'FPS', 'Cyberpunk', 'Sci-fi', 'Classic', 'Shooter', 'Singleplayer', 'First-Person', 'Episodic', 'Short']","['Single-player', 'Stats']",1300,75,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,10625
Darwinia,"['Strategy', 'Indie', 'RTS', 'Singleplayer', 'Retro', 'Story Rich', 'Action', 'Top-Down']",['Single-player'],1500,84,Introversion Software,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,61731
Uplink,"['Hacking', 'Indie', 'Strategy', 'Singleplayer', 'Cyberpunk', 'Great Soundtrack', 'Classic', 'Simulation', 'Sci-fi', '2D', 'Real-Time with Pause', 'Experimental', 'Story Rich', 'Atmospheric', 'Perma Death']",['Single-player'],1510,75,Introversion Software,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,180144
DEFCON,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']","['Single-player', 'Multi-player']",1520,84,Introversion Software,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,221221
Multiwinia,"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']","['Single-player', 'Multi-player', 'Steam Achievements']",1530,76,Introversion Software,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,48299
Dangerous Waters,"['Strategy', 'Simulation', 'Naval']","['Single-player', 'Multi-player']",1600,82,Sonalysts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,7122
Space Empires IV Deluxe,"['Strategy', '4X', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Space', 'Singleplayer']","['Single-player', 'Multi-player']",1610,79,Malfador Machinations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,25531
Disciples II: Rise of the Elves,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']","['Single-player', 'Multi-player', 'Co-op']",1630,80,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,21106
Disciples II: Gallean's Return,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']","['Single-player', 'Multi-player', 'Co-op']",1640,84,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,27373
Iron Warriors: T - 72 Tank Command,"['Simulation', 'Strategy', 'Tanks', 'Military']","['Single-player', 'Multi-player']",1670,56,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,4244
Space Empires V,"['Strategy', '4X', 'Space', 'Sci-fi', 'Turn-Based', 'Singleplayer', 'Turn-Based Strategy', 'Multiplayer']","['Single-player', 'Multi-player']",1690,68,Malfador Machinations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,98301
Arx Fatalis,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",['Single-player'],1700,77,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002,19240
Earth 2160,"['Strategy', 'RTS', 'Sci-fi', 'Multiplayer', 'Futuristic', 'Singleplayer']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards']",1900,73,Reality Pump Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,71296
Two Worlds Epic Edition,"['RPG', 'Open World', 'Fantasy', 'Multiplayer', 'Third Person', 'Adventure', 'Singleplayer', 'Action', 'Medieval', 'Action RPG', 'Story Rich', 'Character Customization']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",1930,65,Reality Pump Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009,162767
Dark Messiah of Might & Magic,"['RPG', 'Action', 'First-Person', 'Fantasy', 'Adventure', 'Dark Fantasy', 'Swordplay', 'Magic', 'Classic', 'Multiple Endings', 'Stealth', 'Story Rich', 'Singleplayer', 'Medieval', 'Atmospheric', 'Hack and Slash', 'Action RPG', 'Gore', 'Multiplayer', 'FPS']","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",2100,72,Arkane Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,441847
Quake III Arena,"['FPS', 'Action', 'Classic', 'Arena Shooter', 'Multiplayer', 'Competitive', 'Shooter', ""1990's"", 'First-Person', 'Gore', 'Difficult', 'Fast-Paced', 'Moddable', 'Sci-fi', 'Singleplayer', 'e-sports', 'Atmospheric']","['Single-player', 'Multi-player', 'Steam Cloud']",2200,0,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,78580
Quake IV,"['FPS', 'Action', 'Shooter', 'Sci-fi', 'Horror', 'Singleplayer', 'Classic', 'Multiplayer', 'Fast-Paced', 'First-Person', 'Gore', 'Atmospheric', 'Dark', 'Arena Shooter', 'Adventure']","['Single-player', 'Multi-player', 'Steam Cloud']",2210,81,RavenSoft / id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,73150
Wolfenstein 3D,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']","['Single-player', 'Steam Cloud']",2270,0,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,32540
Ultimate Doom,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']","['Single-player', 'Steam Cloud']",2280,0,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,78010
Final DOOM,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']","['Single-player', 'Steam Cloud']",2290,0,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,15452
DOOM II,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']","['Single-player', 'Multi-player', 'Steam Cloud']",2300,83,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,66601
QUAKE,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']","['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",2310,94,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,93309
QUAKE II,"['FPS', 'Action', 'Classic', 'Sci-fi', 'Shooter', 'Great Soundtrack', ""1990's"", 'Singleplayer', 'Multiplayer', 'Gore', 'First-Person', 'Moddable', 'Fast-Paced', 'Retro', 'Co-op', 'Atmospheric', 'Arena Shooter', 'Horror', 'Aliens']","['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",2320,0,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,67550
QUAKE II Mission Pack: The Reckoning,"['Action', 'FPS', 'Classic', 'Shooter']","['Single-player', 'Multi-player', 'Steam Cloud']",2330,0,Xatrix Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,1411
QUAKE II Mission Pack: Ground Zero,"['Action', 'FPS', 'Shooter', 'Classic']","['Single-player', 'Multi-player', 'Steam Cloud']",2340,0,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,1144
QUAKE III: Team Arena,"['Action', 'FPS', 'Competitive', 'Shooter', 'Multiplayer', 'Classic', 'Fast-Paced', 'Arena Shooter']","['Single-player', 'Multi-player', 'Steam Cloud']",2350,69,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,9027
HeXen: Beyond Heretic,"['Action', 'FPS', 'Classic', 'Fantasy', 'Dark Fantasy', 'Retro', 'Class-Based', ""1990's"", 'Singleplayer', 'Shooter', 'RPG']","['Single-player', 'Steam Cloud']",2360,0,Raven Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,5122
HeXen: Deathkings of the Dark Citadel,"['Action', 'Classic', 'FPS', 'Shooter', 'Fantasy']","['Single-player', 'Steam Cloud']",2370,0,Raven Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,639
Heretic: Shadow of the Serpent Riders,"['Action', 'Classic', 'FPS', 'Fantasy', 'Shooter', 'Dark Fantasy', 'Retro', ""1990's"", 'First-Person', 'Singleplayer']","['Single-player', 'Multi-player', 'Steam Cloud']",2390,0,Raven Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,8033
The Ship: Murder Party,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",2400,76,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,1047667
The Ship: Single Player,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",['Single-player'],2420,0,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,193827
Bloody Good Time,"['Action', 'FPS', 'Multiplayer', 'Comedy', 'Funny', 'Shooter', 'Gore', 'First-Person']","['Single-player', 'Multi-player', 'Steam Achievements']",2450,73,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,173979
Shadowgrounds,"['Action', 'Sci-fi', 'Top-Down Shooter', 'Shooter', 'Local Co-Op', 'Singleplayer', 'Aliens', 'Co-op', 'Top-Down', 'Horror', 'Isometric', 'Adventure', 'Gore']","['Single-player', 'Shared/Split Screen', 'Steam Trading Cards']",2500,74,Frozenbyte,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,95480
Gumboy - Crazy Adventures™,"['Casual', 'Indie', 'Singleplayer']",['Single-player'],2520,69,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,1331
RIP - Trilogy™,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']","['Single-player', 'Multi-player', 'Co-op']",2540,0,Elephant Games,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,6327
Vigil: Blood Bitterness™,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']",['Single-player'],2570,61,Freegamer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2007,761
Alpha Prime,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'First-Person', 'Singleplayer', 'Difficult', 'Space']",['Single-player'],2590,59,Black Element,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,16381
