ids,playtimeforever
15960,5001
15970,4197
15980,515
15990,4820
1600,7122
16000,1370
16020,3
16030,2339
16040,2967
16060,27
1610,25531
16100,3565
16110,13777
16120,39142
16130,24592
16180,10963
16200,4104
1630,21106
16300,3218
1640,27373
16450,527982
16500,22
16600,96475
16620,7583
1670,4244
16700,29316
16710,3336
16720,24939
16730,47700
16810,122374
1690,98301
1700,19240
17020,1609556
17080,3047911
17100,54497
17120,19446
17140,16131
17180,912
17300,934560
17330,183614
17340,46389
17390,3449590
17400,2595
17410,2884205
17430,521090
17440,278110
17450,2583311
17460,2902693
17470,944232
17480,1563975
17570,619027
17580,67345
17600,1126
17710,369542
17800,4273
17810,4953
18000,72051
18020,49119
18040,59204
18050,32723
18070,28426
18100,679
18110,62705
18120,5880
18300,23158
18400,38320
18420,8100
18450,1753
18460,1677
18470,2224
18480,674
18490,3205
18500,1242285
18600,21484
18700,35723
18820,45230
1900,71296
19000,24148
19020,1885
19030,2465
19080,106
19090,6032
1920,1445
19200,8718
1930,162767
19320,456
19500,1548
19680,365345
19800,33015
19810,17
19830,51980
19840,24
19900,1194696
19930,58535
19980,41193
19990,230
20,961349
200010,297896
200020,166
200050,13734
200060,6337
200080,8175
200130,19983
200150,2978
200170,1292387
200190,3174
200210,20180812
200230,28655
200260,5270540
200330,65
200350,3459
200370,115704
200390,31674
200410,4874
200490,391
200510,15027464
200530,27024
200550,16843
200630,4584
200670,19911
200710,9095285
200900,368251
200910,77612
200940,58432
200960,16972
200980,3390
200990,1045
201000,4859
201010,11522
201020,315196
201040,11937
201070,3814
201190,43603
201210,128085
201230,683086
201280,152516
201290,291008
201310,579670
201330,19
201420,60823
201480,14634
201490,19389
201510,13155
201570,147340
201700,243196
201760,226686
201790,4293367
201810,2496870
201830,88010
201870,1437669
20200,692
202070,8898
202090,1067590
202130,80408
202170,4766258
202200,308337
202270,46866
202310,52561
202370,416
202410,4923
202530,110095
202670,1868
202690,19295
202710,162334
202730,9437
202750,172805
202860,6004
202970,2825842
202990,38641593
203140,5655630
203160,5427979
203210,49874
203250,63693
203290,1978550
203350,116213
203510,45490
203560,6441
203630,544737
203650,48445
203680,17850
203730,101506
203750,125364
203770,9877402
203810,81868
203830,30055
203850,98418
203990,10826
204030,933420
204060,64784
204080,354336
204100,2099339
204120,81728
204140,36783
204180,70266
204220,15711
204240,88135
204300,9799456
204340,189023
204360,6952106
204390,3888
204440,8600
204450,747496
204510,121
204530,143884
204560,15144
204580,181
204630,188459
204760,78
204840,5259
204860,24300
204880,3359628
204940,4722
204960,5690
20500,1230656
205020,6413
205060,12684
205070,12625
205080,13558
205090,9682
20510,515414
205100,7512272
205190,206920
205230,102977
205250,3659
205270,6316
20530,116886
205330,6330
205350,111228
20540,1483401
20550,39482
205530,12115
205550,29298
205590,32175
205610,142599
205650,72518
205690,10106
20570,3317575
205710,67818
205730,48030
205790,544645
205810,28183
205830,3692
205840,8031
205870,10297
205890,143498
205910,158538
205930,208004
205950,143679
205990,65930
206020,10149
206040,4827
206060,5218
206190,778608
206210,1810750
206230,1400
206250,13373
206370,42997
206410,4338
206420,12615423
206440,247140
206480,950941
206500,3235500
206610,65417
206690,42162
206740,5501
206760,4638
206980,56774
20700,10070
207000,1588
207020,9659
207040,12356
207060,54579
207080,141498
20710,5692
207140,3275550
207150,48268
207170,612114
207190,5922
207210,208387
207230,888556
207250,87052
207320,50711
207350,150861
207370,17305
207380,20183
207400,31738
207420,44680
207430,63573
207490,154786
207530,14387
207570,17219
207610,4826803
207650,120040
207670,1141
207690,78681
207710,261
207730,4659
207750,72184
207790,5221
207890,2707499
207930,39969
208030,39499
208090,7398287
208110,3106
208140,1863010
20820,54549
208200,503961
20840,248075
208400,61467
208460,1247
208480,3981358
208500,599312
208520,248752
208580,2439649
208600,31396
208610,191784
208620,2111
208630,3280
208640,3650
208650,2096879
208670,43342
208710,6554
208730,122894
208750,81741
208860,2735
20900,2491730
209000,3953389
209060,43540
209080,3425663
209100,90690
209120,159610
209160,794032
209170,4314741
209190,111980
20920,4900443
209230,4750
209270,751094
209330,58003
209340,8723
209360,5195
209370,68129
209390,8711
209520,101243
209540,158564
209610,3143
209630,19017
209650,727146
209660,3808924
209670,321582
209690,21690
209710,122593
209730,25336
209750,1963
209790,20427
209830,45894
209850,2242
209870,10605123
209950,112410
2100,441847
21000,169995
21010,7709
210150,9335
210170,14278
21030,3129
210350,4765
210390,1064
210410,420
210490,1726
210550,33263
210770,2458626
21080,6337
210870,14636
21090,348411
210950,11676
210970,181574
210990,26651
21100,729124
211010,4096
211050,46614
211070,55
21110,60006
211120,202091
211140,1805
211160,81093
211180,12225
21120,64138
211260,93010
211280,9267
21130,197670
211340,53178
211360,56875
211380,2630
211400,302902
211420,14511305
211440,70763
211500,280653
211580,157434
211600,97902
211670,7544
21170,346012
211740,55474
211780,11799
211800,9593
211820,28222560
211880,683
211900,15050
211970,10122
212010,91601
212030,29864
212050,16376
212070,1527092
212110,16919
212160,3708145
212180,1462027
212200,1694294
212220,38876
212240,264
212370,14064
212390,223746
212410,19135
212480,981806
212500,2793936
212580,192288
212630,584781
212680,11340230
212700,21149
212780,51159
212800,385413
212910,9702972
2130,58761
21300,710
213030,85861
213120,575133
213330,423418
213350,1099
213570,26
213610,378567
213650,202527
213670,3360347
213850,1843574
21400,1053
214100,16566
214130,15876
214150,10732
214170,46176
214190,267761
214210,28
214230,25688
214250,151569
214270,1389
214310,1103
214320,3648
214340,212483
214360,470970
214420,601809
214490,975237
214510,547701
214550,61303
214560,1670772
214570,12880
214590,35780
214610,38880
214630,107393
214640,177847
214700,15402
214730,37510
214770,346734
214790,231406
214830,124721
214850,1685511
214870,133223
214910,40430
214950,17720186
214970,82143
21500,185
215060,992
215080,1602108
215100,301338
215120,60552
215160,65175
215280,1692971
215390,1447
215450,2886
215470,908689
215510,58427
215530,535037
215550,1338
215630,45196
215670,33309
215690,65959
215710,65293
215770,8582
215790,10034
215870,7367
215930,25030
21600,4981
216090,26565
21610,5976
216110,12536
216130,12518
216150,6133438
216210,29
216250,3117887
216260,950454
216290,5288
216370,655
216390,133652
21640,3661
21660,366178
216670,17021
21670,23303
21680,15361
216890,894667
21690,1030504
216910,41510
216930,1137
217060,31733
217080,27796
217100,31379
217120,32
217140,139234
217200,290723
217270,2449
217290,9780
21730,1536
217490,115293
21750,308
21760,51100
217690,60843
217750,49233
217790,16011
21780,24606
217860,14635
217920,23114
217980,27912
21800,43730
218020,3389
218040,26389
218060,324228
218090,66035
218130,326987
218170,108618
218210,15223
218230,41441520
218310,104128
218330,133257
218410,171756
218450,40147
218470,228082
218510,21316
218620,99763747
218640,267350
218660,11669
218680,2593200
218700,1181
218740,63431
218820,223322
218860,11
218980,10870
21900,57003
219070,1535
21910,137640
219150,2685294
219190,33548
21920,2805
219200,46523
219340,45479
21950,1017
219540,1373863
219600,1246992
219640,18876903
219680,34330
21970,1269194
219700,10680
219740,11916690
219760,9653
219780,241495
21980,114342
219800,20158
219830,1467379
219870,42034
219890,662266
21990,345
219910,40803
219950,4972
219990,1643155
220,10857046
2200,78580
22000,258130
220050,148120
220090,34617
220160,1012429
220200,15695677
220240,12185145
220260,1638683
220420,272
220440,820683
220460,77154
220660,288908
220700,1947320
220740,83283
220780,383221
220820,213009
220860,322780
220900,18071
220960,2678
220980,31
2210,73150
22100,1425952
221020,517865
221040,1558092
221080,157671
221100,36440982
221180,20072
22120,93396
221200,1132
221220,179
221260,828876
22130,155419
221300,37421
221340,1348
221360,11214
221380,12658640
22140,19698
221430,73293
221540,142998
221560,11361
221640,1060718
221680,1296155
221790,11327
22180,94474
221810,105622
221830,8591
221910,1355734
22200,131079
222140,44659
222160,7159
222180,1721
22230,230560
222420,23127
222440,35078
222480,320996
222500,4
222520,487433
222640,17248
222660,30973
222710,87498
222730,547692
222750,1170681
222820,8985
222880,11321740
222900,1343304
222940,191893
222980,170991
22300,2149743
223000,89047
22310,9937
223100,103544
22320,1599086
223220,89927
223280,5275
22330,5216542
223330,2022
223390,195733
22340,42041
223410,21143
223430,29581
223450,2605
223470,2132026
223490,19913
22350,938155
223510,43570
223530,141746
223630,46521
223650,88508
223670,528029
22370,5762148
223710,1104357
223730,21499
223750,265140
22380,34473179
223810,53958
223830,356204
223850,206217
223870,32769
224040,1469
224060,644142
224220,60499
224260,7945199
224300,13924
224320,93860
224340,3011
224360,194
224380,18714
224420,249039
224440,55954
224460,43449
224480,622550
22450,35625
224500,588555
224540,7254737
224580,1399609
224600,4049891
224700,3633
224740,43145
224760,564048
224820,103019
224860,39573
22490,301793
224900,7717
224920,21671
224940,12285
224960,57832
224980,20228
22500,15492
225000,22305
225020,17798
225080,187867
225140,443142
225160,137466
225180,2850
225200,2128
225220,70742
225260,919113
225280,83229
225300,46642
225320,32857
225360,40317
225420,303414
225540,3586538
225600,557966
225640,186731
225760,700
225840,635725
22600,863984
22610,43790
226100,37704
226120,11074
226320,3896852
22650,32371
226560,20821
226580,181374
226620,183153
22670,9350
226700,8625952
226720,161974
226740,43700
226760,22159
226780,3386
226820,2413
226840,919378
226860,432980
226960,45660
226980,298674
2270,32540
227000,23784
227020,20661
227060,40587
227080,36842
227100,730897
227160,82248
227180,320711
227200,38299
227220,68386
227240,176873
227260,7777
227280,80597
227300,6957443
227320,650179
227380,3573
227480,276815
227560,38023
227580,144822
227600,21407
227680,341714
227700,2680652
227720,29988
227760,40209
227780,44570
227800,14974
227860,339462
227900,455
227920,8167
227940,14036895
227980,119154
2280,78010
228180,400764
228200,4969292
228260,319438
228280,681018
228300,311603
228320,12754
228380,402037
228400,143801
228440,63071
228560,46292
228760,307692
228880,57080
228940,26766
228960,72012
2290,15452
229100,4017
229480,17647
229520,25291
229580,32771
229600,1228
229810,24749
229870,46847
229890,10738
229970,16951
2300,66601
230050,344073
230070,62734
230150,17001
230170,2346
230190,202990
230230,1957509
230270,27663
230290,186951
230310,12476
230330,79
230350,884
230410,124026968
230650,28956
230700,118302
230760,301
230780,6369
230820,35399
230840,9461
230860,68858
230980,22831
2310,93309
23100,8001
231020,3960
231040,52668
231060,1058030
231140,275892
231160,158558
231180,9008
23120,21099
231200,21455
23130,24
231310,22335
231330,42467
23140,2073
231430,11496793
23150,732
231670,3289000
231720,21102
231740,376432
231910,13019
231990,15849
2320,67550
23200,8374
232010,174906
232050,194406
232090,7329810
232150,39367
232210,227430
232430,134520
232450,267434
232750,119312
232770,53304
232790,192315
232810,746212
232890,153727
232910,579846
232950,44146
232970,10492
2330,1411
23300,6862
23310,546232
233110,11960
233130,1018845
233150,263461
233190,40920
233210,1515
233230,29815
233250,2770553
233270,1262787
233290,212621
233310,3212
233350,33084
233370,18658
233390,5896
233410,1490
233450,9398564
233470,196024
233510,13328
233530,19282
233550,8147
23360,6375
233610,130957
233630,198183
233680,38677
233700,206133
233720,2104182
233740,283342
23380,26547
233840,293642
233860,406144
23390,7544
233980,356485
2340,1144
23400,46118
234000,31929
234060,952
234080,152206
234100,694
234140,2984122
234160,68994
234190,207296
23420,32638
234290,17190
234310,401876
234330,865523
234350,889
234370,1260
234390,218000
23440,51
234490,57738
23450,91518
234530,133906
23460,5627
234630,951780
234650,800400
234670,1326057
234710,1816716
234740,15856
234820,9712
23490,384028
234900,58741
234920,19074
234940,36372
234980,8791
2350,9027
23500,17693
235070,7715
23510,1163
235210,102792
235250,120851
23530,75884
235320,8185
235340,135571
235360,162551
235380,18074
235400,28852
235460,891880
235540,1488535
235600,1650451
235620,31390
235660,5254
235700,1677
235720,3648
235760,2954
235800,442382
235820,25125
235900,93793
235980,11664
2360,5122
23600,6263
236010,4037
236090,755280
236110,3758017
236130,19942
236150,171075
236290,4212
236370,272839
236390,43565227
236430,10014450
236450,111203
236470,1592
236490,4523
236510,134933
236530,3235
236690,388482
236730,46050
236790,30138
236830,328869
236850,14528516
236870,462311
236890,1855
236930,4009
236970,3386
2370,639
23700,30532
237110,1556718
237310,5058593
237350,12232
237370,38858
237430,68498
237470,3968
237530,564
237550,2793
237570,52612
237590,20057
237630,82802
237740,89942
237760,10554
237850,77393
237870,323181
237890,309198
237930,575972
237950,12555
237970,764
237990,373674
238010,2524782
238050,8895
238070,7432
238090,1377052
238110,5341
238130,357
238170,3750
238210,275167
238240,274224
238260,200461
238280,109008
238320,768527
238370,288667
238430,1486428
238460,3841687
238530,16327
238590,183725
238630,10531
238710,20444
238750,198574
238870,11940
238890,29318
238910,96741
238930,23169
238960,23168135
2390,8033
239030,1525978
239070,688153
239090,7628
239120,135041
239140,6904911
239160,1202377
239200,221217
239220,3492917
239250,87290
239350,1737406
239410,26831
239430,29065
239450,140562
239660,2003999
239700,53327
239720,8781
239800,76775
239820,3416585
239840,205491
240,112611120
2400,1047667
24010,1392963
240160,7080
240180,3981
240200,6036
240320,192903
240340,383
240360,1354
240380,112785
240440,7800
240460,310300
240600,65382
240620,16433
240660,594
240760,919576
240970,50713
241070,30614
24120,508
241240,78293
241260,60837
24130,520
241320,41665
24140,3355
241410,111412
241540,3103768
241560,1132544
241600,2851388
241620,32824
241640,55885
241660,15580
24170,68749
241720,282448
241760,757
241790,729
241910,63182
241930,6294058
241990,33415
2420,193827
242050,5380755
24210,677
242110,59332
242130,13183
24220,249
24240,9010350
242460,55920
242480,114
242530,15831
242550,199377
242570,132527
242590,41511
242640,226549
242680,1907120
242700,1184777
242720,1482933
242760,5911681
242780,28332
242800,34656
242820,95861
242840,16269
242860,1598146
242880,321067
242920,3996595
242940,18275
242960,7405
242980,5454
2430,14671
243000,14300
243020,3367
243040,25995
243060,1216
243120,83059
243140,807
243160,21629
243180,1821
243200,23870
243220,15259
243280,10397
243300,321
243320,1971
243360,74336
243380,37509
243450,63438
243470,2993106
243560,9922
243580,5499
243780,68276
243800,57022
243870,13656637
243890,13
243930,98906
243950,232991
243970,275032
24400,107971
244030,64870
244050,50717
244070,70862
244090,52374
24410,3533
244160,637412
24420,34392
244210,2148173
244290,3260
244410,48058
244430,21104
244450,2330493
244590,54863
24460,7681
244630,97638
244690,17925
24470,40704
244710,52945
244730,117432
244770,648620
24480,48012
244810,22410
244830,5
244850,13953918
244870,172128
244890,26200
244910,2672
244930,624635
244950,1948
2450,173979
24500,4615
245010,1842
245050,23123
245130,57308
245150,23454
245170,1352482
245280,82081
245300,13761
245370,18415
245390,31043
245410,10413
245430,6375
245450,21844
245470,545228
245490,416182
245550,451599
245620,1304763
245730,18599
245760,29953
24600,4207
246070,38140
246090,166927
246110,74839
24620,25
246260,11196
246280,479041
24630,13850
246300,14922
246360,575
24640,3000
246400,14137
246420,292983
24650,1610
246580,85631
24660,32228
246600,809
246620,1403589
246680,6345
24670,132473
246700,74979
246720,299
246740,2486
246760,28177
246800,5492
246820,26
246840,56500
246880,783
246900,633639
246920,5225
246940,6242
246960,14833
246980,18138
247000,432128
247020,316719
247080,787347
247120,3803
247140,25138
24720,1544773
247240,65255
247310,8461
247350,20411
247370,22116
24740,2143012
247430,44917
247580,7028
24760,41
247660,75166
247730,1551637
247770,4163
24780,1357948
247830,33521
247870,12180
24790,556928
247910,441036
247930,1387
247950,28831
24800,817975
24810,355767
248170,140059
248190,19162
24820,116
248270,48
248290,10040
24830,1483
248310,106611
248330,10458
248350,24660
248370,8396
248390,664638
24840,163850
248410,6463
248450,13287
248470,17568
248490,66449
24850,4383
248510,36344
248530,40799
248550,38501
248570,2595167
24860,1033081
248610,304006
248630,54483
248650,50414
24870,199350
248710,5450
248730,4409
248800,16001
248820,5253385
248860,261061
248970,23878
249050,740504
249130,2915341
249190,13388
249230,93476
249330,71526
249360,38710
249380,94063
249550,14560
249570,30035
249590,38722
24960,14029832
249610,13202
249630,61488
249650,148304
249680,25071
24980,4392353
249870,300506
249930,1855
249950,50146
249990,186037
2500,95480
25000,354037
250030,20021
250050,13307
250070,75
25010,19357
250110,28636
250180,224118
250200,140
250240,21147
250260,166746
250280,7841
250320,1265219
250340,959421
250360,76564
250380,14131
250400,943067
250420,242953
250460,73390
250500,72475
250520,110359
250560,110309
250580,133557
250600,15227
250620,46128
250640,7383
250660,10580
250700,35877
250720,1790
250740,16
250760,596511
250870,55240
250900,25800398
251020,19
251060,2462017
251110,7679
251130,87813
251150,209114
251170,214292
251210,8064
251230,3383
251270,14651
251290,98994
251310,9809
251370,13110
251390,5678
251410,10198
251430,25847
251470,123314
251490,2912
251510,5117
251530,26410
251570,8105051
251610,96977
251630,56865
251670,249218
251690,26046
251710,15023
251730,324680
251770,9770
251790,9
251810,120836
251830,13326
251850,28993
251870,104173
251890,5541
251910,28944
251970,39713
251990,218873
2520,1331
252010,48974
252030,74828
252050,2830
252070,11761
252110,27515
252130,10498
252150,61870
252170,19825
252210,4645
252230,2339
252250,8411
252270,19705
252290,2265
252310,21716
252330,137029
252350,40381
252370,12906
252410,197639
252430,5125
252450,152177
252470,68957
252490,81120361
2525,291
252530,385683
252550,12283
252570,13545
252610,27386
252630,73284
252670,32288
252690,8733
252710,5444
252730,3164
252750,5664
252770,8122
252830,5981
252850,107
252870,139348
252890,1856
252910,3909
252950,35886083
252970,2396
253030,367044
253110,43468
253130,12064
253150,7759
253190,26489
253230,13277
253250,346668
253290,24718
253310,113
253330,17857
253350,6292
253370,25619
253390,2935
253410,4493
253430,345769
253470,20672
253490,22150
253510,38871
253530,31899
253570,10513
253610,11124
253630,29892
253650,53470
253670,138
253690,10011
253710,1393694
253750,24982
253770,19828
253790,10302
253860,3144
253880,4628
253900,101584
253920,5169
253940,35542
253960,7791
253980,142551
2540,6327
254000,3929
254020,5377
254040,2342
254060,9247
254080,1263
254100,594
254130,17024
254200,179766
254320,17607
254440,158947
254460,11177
254480,5392
2545,3279
254590,6005
254650,4652
254700,472038
254820,378
254840,2483
254860,27
254880,5518
254920,46
254960,27468
254980,7573
2550,6925
25500,92752
255010,4610
255030,4435
255070,82638
255220,610433
255260,72263
255280,22109
255300,19494
255320,20517
255340,14320
255370,41082
255390,8763
255420,595993
255480,1358678
255500,5602
255520,82036
255710,7582578
255870,30591
255920,3153
255940,792
255960,686
25600,9788
256010,9377
256030,15530
256050,59859
256070,2997
256190,36483
25620,16694
256290,236928
256330,39037
256350,5468
256370,143333
256390,10811
256410,726012
256440,82
2570,761
25700,74580
257030,16755
257050,54308
257080,10748
257120,41170
257170,192667
257220,139
257260,605
257350,414972
257400,90708
257510,633957
257610,1539
257630,3118
257650,77067
257670,8503
257690,6352
257710,18494
257730,609508
257750,201940
257770,6579
257790,13024
257830,32067
257850,188513
257870,4109
257890,40973
257930,730
257970,41074
257990,16614
25800,776661
258010,52431
258030,389
258050,54582
258070,1886
258090,117380
258160,106321
258180,69909
258200,47128
258220,16155
258240,537
25830,53947
25840,982
25850,43712
258520,87431
258590,19594
25860,74218
25870,101
258700,333691
258760,9329
258880,10121
258890,32755
25890,1473356
258910,28930
258950,10785
258970,412715
2590,16381
25900,247501
259000,1697
259020,2402
259060,123415
25910,178448
259130,13913
259170,9126
259190,731
259280,1978
25930,27047
259300,2119
259320,738
259340,366
259360,966
259390,39271
25940,1104
259410,6082
259430,11107
259450,2671
259470,17749
259490,5919
259510,26509
259530,45994
259550,28177
259570,18163
259600,16495
259620,26337
259640,5204
259660,8748
259680,304430
259700,4998
259720,19803
259740,27844
259760,2588
259780,33886
25980,150694
259810,2622
259830,6068
259870,24406
259890,16419
25990,24540
259910,6391
259940,447
259960,912
259980,3999
2600,613191
26000,24370
260000,848
260020,116
260040,335
260060,767
260130,97288
260160,19024
260190,6855
260210,99989
260230,265148
260250,16100
260270,2202
260330,7446
260380,864
260410,35045
260430,66005
260510,11287
260530,1433
260550,2397
260570,6146
260650,1651
260690,829
260710,394
260730,3941
260750,4396
260770,2239
260790,24233
260930,22997
2610,24922
261030,1832295
261110,103205
261180,533411
261350,5570
261430,60576
261470,126603
261490,7337
261510,24479
261530,31811
261570,425532
261600,592
261640,10128282
261680,4920
261700,21805
261720,287
261740,643
261760,152831
261880,5414
261920,2318
261940,693
261960,1148
2620,126028
262000,2382
262060,2060117
262080,3872
262100,465
262120,46501
262150,68904
262190,1216
262210,15182
262240,6530
262260,24036
262280,106031
262300,21525
262390,33161
262410,630610
262450,16304
262470,8370
262490,22423
262510,128
262550,9754
262590,11209
262610,808
262650,3746
262690,32728
262750,20842
262770,11976
262790,71572
262830,74670
262850,6742
262870,1198
262900,21644
262920,5833
262940,39746
262960,11569
262980,129
2630,436204
26300,226
263020,44989
263040,4553
263060,291571
263080,8054
263100,1345
263120,137
263140,929
263180,63
263200,56451
263260,3487
263280,1331167
263300,99100
263320,28982
263340,2136
263360,36406
263380,9892
263400,30662
263420,15719
263440,273632
263460,10137
263480,10422
263500,162847
263520,11110
263540,297260
263560,22997
263620,41636
263640,991
263680,7420
263700,6790
263740,27960
263760,889531
263820,23982
263840,9270
263860,15627
263880,8610
263920,6070
263940,861
263960,8033
263980,105581
2640,85215
264000,6836
264060,11716
264080,528
264120,29897
264140,1016570
264160,53749
264200,840060
264220,9336
264240,74638
264260,1156
264280,90445
264300,23078
264320,15572
264340,15369
264360,196457
264380,36473
264400,50
264420,133
264440,55
264460,5051
264480,633
264520,7646
264540,25461
264560,10930
264580,458
264690,40591
264710,2011619
264730,70016
264970,3881
26500,61756
265000,19049
265020,328
265120,36492
265170,14139
265210,339150
265240,1113
265300,273133
265330,8243
265380,9400
265400,4545
265420,8964
265490,40
265550,788419
265590,78234
265610,331898
265630,2661412
265650,116269
265670,8176
265690,6353
265750,16504
265770,5028
265790,8793
265810,49000
265830,5925
265870,20991
265890,50665
265930,3810738
265950,10033
265970,18533
265990,15040
266010,219149
266030,16721
266050,15608
266070,83721
266090,760
266110,94231
266130,109963
266150,155496
266170,25537
266190,1322
266210,232165
266230,42907
266250,3515
266290,3891
266310,34684
266330,12162
266370,305
266390,20826
266410,70387
266430,415726
266450,30190
266470,144
266490,15858
266510,266308
266550,366
266620,159
266840,2585854
266940,4383
267060,18023
267220,177
267340,16974
267360,7234
267440,22623
267490,39647
267530,365137
267550,143129
267600,38499
267610,6017
267670,7604
267730,5083
267750,59436
267900,9081
267920,39710
267940,243
267960,1328
267980,47642
26800,345287
268050,308478
268130,685
268200,27315
268220,26214
268240,30874
268260,693
268320,13113
268340,1451
268360,2515
268400,68875
268420,2917457
268500,5142694
268520,175
268540,25704
268650,1365966
268670,2088
268710,36
268750,1263620
268810,11819
268830,21381
268850,2054994
268870,118434
268890,65671
268930,2105
268970,217
2690,2175
26900,50374
269010,10677
269030,29688
269050,6865
269110,40158
269150,662
269170,3751
269210,1112353
269230,8138
269250,23343
269270,18449
269290,94750
269310,52263
269330,8477
269350,1202
269370,15527
269390,28868
269430,3788
269450,697
269470,64639
269490,51381
269530,2051
269550,35
269570,7853
269590,2422
269610,4211
269630,6453
269650,27379
269670,20450
269690,3652
269710,468
269730,152115
269770,235637
269790,24487
269810,1683
269890,19862
269910,8672
269990,5276
2700,942626
27000,17881
270010,8285
270030,44
270050,38349
270090,20139
270110,2967
270130,2975
270150,395326
270170,29338
270190,9085
27020,1748
270210,81007
270230,36
270270,6259
270310,3528
270330,7083
270370,260941
270430,18
270450,189026
270490,11335
27050,1435
270510,1557
270550,254491
270570,24181
270590,235
270630,24306
270750,7987
270760,8045
270770,130
270790,3933
270810,3328
270830,990
270850,159538
270880,712547
270910,4642
270950,7880
2710,10222
271240,163345
271290,1785822
271360,4724
271370,1785
271500,4359
271550,8959
271570,43432
271590,59709663
271640,41518
271670,25066
271730,12679
271760,1699
271820,39984
271860,51213
271900,77984
271920,6385
271970,35049
271990,3284
2720,665
27200,1779
272010,4770
272040,10577
272060,9644
27220,29153
272230,32678
272270,3558
272300,70
272330,3878
272350,492995
272470,134135
272490,324
272510,563395
272600,9989
272670,28010
272860,138019
272890,26099
272990,276
27300,7310
273030,156
273070,63400
273110,1508302
273240,16054
27330,1133
273350,4430807
273390,65837
273500,16660
273550,163
273570,3009
273580,1720
273590,727
273600,1342
273620,5123
273730,579
273740,10
273750,1924
273760,3093
273770,13352
273790,12
273800,14
273820,953
273830,2429
273840,61140
273850,8
273860,38
273940,12979
273960,2130
27400,3590
274010,842
274130,2257
274170,794090
274190,1956993
274230,60104
274250,38650
274270,70288
274290,103752
274310,186185
274350,10507
274450,3166
274480,12214
274500,5796
274520,29215
274560,65065
274620,13601
274700,1139
274880,1397
274900,186221
274920,162034
274940,934124
274980,19397
